Time,Temperature,Humidity,"Battery level",Rain,Wind,Light
"20:07:2022 00:00:00",-11.03,35.11,41.38,14.05,26.66,2340
"20:07:2022 01:00:00",-4.39,20.07,69.14,19.79,0.67,6762
"20:07:2022 02:00:00",5.32,34.29,98.3,3.62,5.71,5677
"20:07:2022 03:00:00",16.13,82.01,5.14,1.22,20.6,7239
"20:07:2022 04:00:00",-1.25,50.6,74.83,17.1,7.59,287
"20:07:2022 05:00:00",2.13,69.48,98.57,11.42,5.21,5238
"20:07:2022 06:00:00",-14.72,25.49,7.69,7.25,25.33,5174
"20:07:2022 07:00:00",4.45,26.84,8.92,18.92,0.15,9315
"20:07:2022 08:00:00",1.12,44.46,86.86,2.12,27.71,7768
"20:07:2022 09:00:00",-5.78,34.92,66.58,30.97,6.13,5717
"20:07:2022 10:00:00",-1.97,45.18,88.45,18.72,17.59,6955
"20:07:2022 11:00:00",-10,28.33,81.74,3.8,7.75,1827
"20:07:2022 12:00:00",-8,14.6,34.28,16.73,11.45,8041
"20:07:2022 13:00:00",-19.33,10.06,49.61,30.37,19.69,8275
"20:07:2022 14:00:00",0.47,17.75,24.83,16.59,26.61,4569
"20:07:2022 15:00:00",-17.57,7.79,34.71,18.29,13.67,2867
"20:07:2022 16:00:00",-11.96,36.02,16.61,4.37,24.95,8875
"20:07:2022 17:00:00",-4.65,42.39,3.25,20.5,30.67,4630
"20:07:2022 18:00:00",6.28,51.29,49.21,22.32,23.49,7102
"20:07:2022 19:00:00",-17.06,58.55,53.01,7.82,28.01,8709
"20:07:2022 20:00:00",15.47,73.58,14.72,11.26,16.34,5842
"20:07:2022 21:00:00",-14.53,44.53,87.2,5.89,15.18,3668
"20:07:2022 22:00:00",-8.36,16.82,24.96,26.59,14.05,9196
"20:07:2022 23:00:00",-18.63,33.13,16.02,15.89,26.76,2191
